X,Y,full_id,osm_id,osm_type,addr_city,addr_house,addr_postc,addr_stree,building,building_l,email,internet_a,name,operator,payment_ca,payment_cr,payment_de,payment_vi,tourism,type,website,addr_count,residentia,year,addr_hou_1,building_c,building_u,landuse,building_m,roof_colou,roof_mater,amenity,branch,fax,phone,short_name,social_fac,access,bicycle_pa,building_1,layer,level,parking,parking_co,parking_la,surface,height,social_f_1,addr_neigh,addr_place,postal_cod,roof_shape,building_2,roof_level,roof_orien,building_p,addr_subur,ref,commercial,image,mapillary,history,old_name,wheelchair,shop,building_3,leisure,architect,year_of_co,religion,wikidata,denominati,historic,roof_direc,descriptio,check_date,resi,contact_fa,covered,power,sports,sport,addr_name,shelter_ty,full_id_2,osm_id_2,osm_type_2,addr_city_,addr_cou_1,addr_hou_2,addr_pos_1,addr_str_1,building_4,building_5,resident_1,type_2,year_2,addr_hou_3,height_2,addr_regio,descript_1,landuse_2,name_2,constructi,addr_pla_1,building_6,building_7,place,addr_nei_1,roof_lev_1,roof_mat_1,roof_ori_1,roof_sha_1,roof_col_1,building_8,amenity_2,parking_2,commerci_1,image_2,mapillary_,history_2,designatio,layer_2,building_9,shop_2,building10,wikidata_2,operator_2,building11,developer,phone_2,website_2,alt_name,wheelcha_1,roof_dir_1,natural,contact__1,power_2,old_name_2,ID
103.759276918936,1.3435138065093,r8393265,"8393265",relation,Singapore,289D,"653289",Bukit Batok Street 25,residential,"17",,,,,,,,,,multipolygon,,SG,HDB,,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w370374702,"370374702",way,,,,,,,,HDB,,,,,,,residential,Nature View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22"
103.705693664939,1.34162665347527,r10279685,"10279685",relation,Singapore,"687","640687",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10279685,"10279685",relation,Singapore,SG,"687","640687",Jurong West Central 1,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23"
103.705693664939,1.34162665347527,r10279685,"10279685",relation,Singapore,"687","640687",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w705323259,"705323259",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24"
103.706312337474,1.34189335397307,r10279686,"10279686",relation,Singapore,"691","640691",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10279686,"10279686",relation,Singapore,SG,"691","640691",Jurong West Central 1,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25"
103.706312337474,1.34189335397307,r10279686,"10279686",relation,Singapore,"691","640691",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w705323259,"705323259",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26"
103.706158263119,1.34094979415734,r10279687,"10279687",relation,Singapore,"689","640689",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10279687,"10279687",relation,Singapore,SG,"689","640689",Jurong West Central 1,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27"
103.706158263119,1.34094979415734,r10279687,"10279687",relation,Singapore,"689","640689",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w705323259,"705323259",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28"
103.706706306684,1.34131196213957,r10279688,"10279688",relation,Singapore,"690","640690",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10279688,"10279688",relation,Singapore,SG,"690","640690",Jurong West Central 1,residential,"13",HDB,multipolygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29"
103.706706306684,1.34131196213957,r10279688,"10279688",relation,Singapore,"690","640690",Jurong West Central 1,residential,"13",,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w705323259,"705323259",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30"
103.717889177393,1.3459989496465,r10345151,"10345151",relation,Singapore,"520","640520",Jurong West Street 52,residential,,,,,,,,,,,multipolygon,,SG,HDB,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,w705324863,"705324863",way,,,,,,,,HDB,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31"
